"member","transaction_id","sale_date","product"
1008,33,2015-07-21,"yogurt"
1008,33,2015-07-21,"domestic eggs"
1008,33,2015-07-21,"white wine"
1008,33,2015-07-21,"photo/film"
1008,34,2015-10-03,"hamburger meat"
1008,34,2015-10-03,"liquor (appetizer)"
1008,34,2015-10-03,"liver loaf"
1008,34,2015-10-03,"dessert"
1009,35,2014-01-24,"canned fish"
1009,35,2014-01-24,"cocoa drinks"
1009,36,2015-05-14,"tropical fruit"
1009,36,2015-05-14,"yogurt"
1009,37,2015-09-23,"pastry"
1009,37,2015-09-23,"ketchup"
1009,38,2015-10-05,"herbs"
1009,38,2015-10-05,"yogurt"
1009,38,2015-10-05,"newspapers"
1010,39,2014-03-05,"pip fruit"
1010,39,2014-03-05,"coffee"
1010,39,2014-03-05,"UHT-milk"
1010,40,2014-04-10,"kitchen towels"
1010,40,2014-04-10,"sliced cheese"
1010,41,2014-08-23,"bottled water"
1010,41,2014-08-23,"specialty bar"
1010,42,2014-08-27,"frankfurter"
1010,42,2014-08-27,"bottled water"
1010,43,2015-07-31,"pip fruit"
1010,43,2015-07-31,"candles"
1010,43,2015-07-31,"rolls/buns"
1011,44,2014-02-15,"citrus fruit"
1011,44,2014-02-15,"candy"
1011,44,2014-02-15,"bottled water"
1011,44,2014-02-15,"rolls/buns"
1011,45,2014-06-02,"curd cheese"
1011,45,2014-06-02,"pastry"
1011,46,2015-12-09,"whole milk"
1011,46,2015-12-09,"frankfurter"
1011,46,2015-12-09,"candles"
1011,46,2015-12-09,"grapes"
1011,46,2015-12-09,"herbs"
1011,46,2015-12-09,"other vegetables"
1011,46,2015-12-09,"yogurt"
1012,47,2014-06-22,"frozen vegetables"
1012,47,2014-06-22,"brown bread"
1012,48,2015-03-27,"processed cheese"
1012,48,2015-03-27,"whole milk"
1012,49,2015-10-03,"frankfurter"
1012,49,2015-10-03,"yogurt"
1012,50,2015-11-19,"tropical fruit"
1012,50,2015-11-19,"root vegetables"
1012,50,2015-11-19,"rolls/buns"
1012,50,2015-11-19,"onions"
1012,50,2015-11-19,"shopping bags"
1013,51,2014-01-17,"hard cheese"
1013,51,2014-01-17,"napkins"
1013,51,2014-01-17,"bottled water"
1013,52,2014-02-20,"whole milk"
1013,52,2014-02-20,"candy"
1013,53,2014-03-26,"tropical fruit"
1013,53,2014-03-26,"frozen vegetables"
1013,54,2014-03-28,"mustard"
1013,54,2014-03-28,"whipped/sour cream"
1013,55,2014-07-15,"other vegetables"
1013,55,2014-07-15,"mustard"
1013,56,2014-11-12,"root vegetables"
1013,56,2014-11-12,"mayonnaise"
1013,57,2015-07-02,"frozen meals"
1013,57,2015-07-02,"whole milk"
1013,58,2015-10-02,"white bread"
1013,58,2015-10-02,"meat"
1013,58,2015-10-02,"domestic eggs"
1013,58,2015-10-02,"roll products "
1014,59,2014-09-04,"hamburger meat"
1014,59,2014-09-04,"butter milk"
1014,60,2014-10-06,"whole milk"
1014,60,2014-10-06,"rolls/buns"
1014,61,2015-01-04,"canned beer"
1014,61,2015-01-04,"cookware"
1014,62,2015-10-03,"whole milk"
1014,62,2015-10-03,"sausage"
1014,62,2015-10-03,"bottled beer"
1014,62,2015-10-03,"yogurt"
1015,63,2014-06-28,"fruit/vegetable juice"
1015,63,2014-06-28,"rolls/buns"
1015,63,2014-06-28,"chocolate"
1015,64,2015-03-22,"salty snack"
1015,64,2015-03-22,"beef"
1015,65,2015-05-04,"citrus fruit"
1015,65,2015-05-04,"whole milk"
1016,66,2015-04-23,"soft cheese"
1016,66,2015-04-23,"pip fruit"
1016,67,2015-07-19,"chicken"
1016,67,2015-07-19,"red/blush wine"
1016,68,2015-09-30,"rolls/buns"
1016,68,2015-09-30,"frankfurter"
1016,68,2015-09-30,"oil"
1016,68,2015-09-30,"pip fruit"
1016,68,2015-09-30,"mayonnaise"
1016,69,2015-10-05,"UHT-milk"
1016,69,2015-10-05,"bottled beer"
1017,70,2014-02-21,"other vegetables"
1017,70,2014-02-21,"root vegetables"
1017,71,2014-06-19,"yogurt"
1017,71,2014-06-19,"beef"
1017,72,2014-10-14,"brown bread"
1017,72,2014-10-14,"pet care"
1017,73,2015-05-16,"other vegetables"
1017,73,2015-05-16,"rolls/buns"
1017,74,2015-09-30,"soda"
1017,74,2015-09-30,"dessert"
1017,74,2015-09-30,"shopping bags"
1018,75,2014-04-15,"beverages"
1018,75,2014-04-15,"domestic eggs"
1018,76,2014-05-27,"berries"
1018,76,2014-05-27,"cake bar"
1018,77,2014-10-01,"curd"
1018,77,2014-10-01,"long life bakery product"
1018,78,2015-05-23,"butter milk"
1018,78,2015-05-23,"root vegetables"
1019,79,2014-12-10,"hamburger meat"
1019,79,2014-12-10,"red/blush wine"
1020,80,2014-07-19,"frozen meals"
1020,80,2014-07-19,"butter"
1020,80,2014-07-19,"newspapers"
1020,80,2014-07-19,"yogurt"
1020,81,2014-08-12,"canned beer"
1020,81,2014-08-12,"shopping bags"
1020,82,2015-10-13,"canned beer"
1020,82,2015-10-13,"spices"
1020,82,2015-10-13,"rolls/buns"
1020,82,2015-10-13,"frozen fish"
1021,83,2014-05-30,"sliced cheese"
1021,83,2014-05-30,"butter"
1021,84,2015-10-22,"liquor"
1021,84,2015-10-22,"curd"
1021,84,2015-10-22,"yogurt"
1021,84,2015-10-22,"tropical fruit"
1021,85,2015-11-07,"rolls/buns"
1021,85,2015-11-07,"baking powder"
1022,86,2014-02-22,"beef"
1022,86,2014-02-22,"napkins"
1022,87,2014-03-25,"whole milk"
1022,87,2014-03-25,"whipped/sour cream"
1022,88,2014-06-07,"sausage"
1022,88,2014-06-07,"fruit/vegetable juice"
1023,89,2014-05-17,"chicken"
1023,89,2014-05-17,"frozen meals"
1023,90,2014-05-22,"male cosmetics"
1023,90,2014-05-22,"curd"
1023,91,2014-06-13,"domestic eggs"
1023,91,2014-06-13,"soda"
1023,92,2014-12-30,"sausage"
1023,92,2014-12-30,"whipped/sour cream"
1023,92,2014-12-30,"specialty bar"
1023,93,2015-01-06,"whipped/sour cream"
1023,93,2015-01-06,"root vegetables"
1023,93,2015-01-06,"rolls/buns"
1023,93,2015-01-06,"packaged fruit/vegetables"
1023,94,2015-06-28,"white bread"
1023,94,2015-06-28,"bottled beer"
1023,94,2015-06-28,"yogurt"
1023,94,2015-06-28,"berries"
1024,95,2015-08-10,"fish"
1024,95,2015-08-10,"root vegetables"
1024,95,2015-08-10,"tropical fruit"
1024,95,2015-08-10,"other vegetables"
1025,96,2014-02-06,"coffee"
1025,96,2014-02-06,"shopping bags"
1025,97,2014-03-10,"ham"
1025,97,2014-03-10,"cream cheese "
1025,98,2015-08-19,"canned beer"
1025,98,2015-08-19,"UHT-milk"
1026,99,2014-03-08,"sausage"
1026,99,2014-03-08,"dessert"
1026,99,2014-03-08,"rolls/buns"
1026,99,2014-03-08,"pickled vegetables"
1026,100,2014-06-18,"root vegetables"
1026,100,2014-06-18,"long life bakery product"
1026,101,2014-08-23,"citrus fruit"
1026,101,2014-08-23,"yogurt"
1026,102,2015-03-15,"fruit/vegetable juice"
1026,102,2015-03-15,"salty snack"
1026,102,2015-03-15,"candy"
1026,102,2015-03-15,"dental care"
1026,102,2015-03-15,"butter"
1026,103,2015-05-28,"root vegetables"
1026,103,2015-05-28,"whipped/sour cream"
1026,103,2015-05-28,"root vegetables"
1026,103,2015-05-28,"canned beer"
1027,104,2014-05-14,"softener"
1027,104,2014-05-14,"salt"
1027,104,2014-05-14,"whole milk"
1027,105,2014-09-22,"rolls/buns"
1027,105,2014-09-22,"bottled water"
1027,106,2015-02-25,"rolls/buns"
1027,106,2015-02-25,"red/blush wine"
1027,107,2015-05-17,"pork"
1027,107,2015-05-17,"hamburger meat"
1028,108,2014-04-05,"rolls/buns"
1028,108,2014-04-05,"sugar"
1028,109,2014-04-24,"rolls/buns"
1028,109,2014-04-24,"baking powder"
1028,109,2014-04-24,"onions"
1028,109,2014-04-24,"bottled water"
1028,110,2014-11-10,"soda"
1028,110,2014-11-10,"butter"
1028,111,2015-06-02,"onions"
1028,111,2015-06-02,"canned beer"
1028,111,2015-06-02,"flower (seeds)"
1028,112,2015-07-11,"specialty chocolate"
1028,112,2015-07-11,"root vegetables"
1029,113,2015-03-14,"dessert"
1029,113,2015-03-14,"ham"
1031,114,2014-03-04,"ice cream"
1031,114,2014-03-04,"pot plants"
1031,115,2015-08-26,"beverages"
1031,115,2015-08-26,"cream cheese "
1031,116,2015-10-15,"other vegetables"
1031,116,2015-10-15,"other vegetables"
1031,116,2015-10-15,"berries"
1032,117,2014-01-26,"whipped/sour cream"
1032,117,2014-01-26,"newspapers"
1032,118,2014-09-23,"white bread"
1032,118,2014-09-23,"whole milk"
1032,118,2014-09-23,"pastry"
1032,118,2014-09-23,"shopping bags"
1032,119,2015-06-15,"berries"
1032,119,2015-06-15,"soda"
1032,119,2015-06-15,"butter"
1032,119,2015-06-15,"other vegetables"
1032,119,2015-06-15,"white bread"
1032,119,2015-06-15,"cream cheese "
1032,120,2015-07-13,"ice cream"
1032,120,2015-07-13,"whipped/sour cream"
1032,121,2015-08-23,"yogurt"
1032,121,2015-08-23,"root vegetables"
1033,122,2014-03-02,"frankfurter"
1033,122,2014-03-02,"pastry"
1033,123,2014-04-18,"fruit/vegetable juice"
1033,123,2014-04-18,"dessert"
1033,124,2014-04-21,"sausage"
1033,124,2014-04-21,"snack products"
1033,124,2014-04-21,"rolls/buns"
1033,125,2015-04-22,"tropical fruit"
1033,125,2015-04-22,"soda"
1033,125,2015-04-22,"rolls/buns"
1033,126,2015-06-15,"chicken"
1033,126,2015-06-15,"waffles"
1034,127,2014-02-24,"pip fruit"
1034,127,2014-02-24,"cling film/bags"
1034,127,2014-02-24,"yogurt"
1034,127,2014-02-24,"cat food"
1034,128,2014-04-28,"bottled water"
1034,128,2014-04-28,"domestic eggs"
1034,128,2014-04-28,"frozen meals"
1034,129,2014-05-13,"tropical fruit"
1034,129,2014-05-13,"newspapers"
1035,130,2014-06-25,"whole milk"
1035,130,2014-06-25,"frozen vegetables"
1035,131,2014-08-15,"pip fruit"
1035,131,2014-08-15,"white wine"
1035,131,2014-08-15,"white bread"
1035,131,2014-08-15,"salt"
1035,132,2015-04-24,"whole milk"
1035,132,2015-04-24,"yogurt"
1035,132,2015-04-24,"yogurt"
1035,132,2015-04-24,"rolls/buns"
1035,133,2015-05-23,"sausage"
1035,133,2015-05-23,"frozen vegetables"
1035,134,2015-09-08,"whole milk"
1035,134,2015-09-08,"newspapers"
1036,135,2014-01-20,"fruit/vegetable juice"
1036,135,2014-01-20,"vinegar"
1037,136,2014-02-24,"tropical fruit"
1037,136,2014-02-24,"white bread"
1037,136,2014-02-24,"rolls/buns"
1037,137,2014-06-06,"citrus fruit"
1037,137,2014-06-06,"shopping bags"
1037,137,2014-06-06,"chewing gum"
1037,137,2014-06-06,"cake bar"
1037,138,2015-12-16,"frankfurter"
1037,138,2015-12-16,"yogurt"
1037,138,2015-12-16,"canned beer"
1038,139,2014-01-28,"margarine"
1038,139,2014-01-28,"napkins"
1038,140,2015-02-21,"sausage"
1038,140,2015-02-21,"pork"
1038,140,2015-02-21,"butter"
1038,140,2015-02-21,"whole milk"
1038,140,2015-02-21,"fruit/vegetable juice"
1038,141,2015-04-02,"whole milk"
1038,141,2015-04-02,"pip fruit"
1038,141,2015-04-02,"whipped/sour cream"
1038,142,2015-04-10,"other vegetables"
1038,142,2015-04-10,"specialty chocolate"
1038,143,2015-04-23,"pip fruit"
1038,143,2015-04-23,"herbs"
1038,143,2015-04-23,"frozen meals"
1038,144,2015-12-14,"Instant food products"
1038,144,2015-12-14,"whipped/sour cream"
1038,144,2015-12-14,"butter"
1038,144,2015-12-14,"cake bar"
1039,145,2015-05-31,"salty snack"
1039,145,2015-05-31,"rolls/buns"
1040,146,2014-06-14,"yogurt"
1040,146,2014-06-14,"rolls/buns"
1040,147,2014-09-03,"whole milk"
1040,147,2014-09-03,"pasta"
1040,147,2014-09-03,"rolls/buns"
1040,148,2014-10-24,"root vegetables"
1040,148,2014-10-24,"white bread"
1040,149,2015-11-26,"tropical fruit"
1040,149,2015-11-26,"chicken"
1040,149,2015-11-26,"onions"
1040,149,2015-11-26,"packaged fruit/vegetables"
1041,150,2014-06-13,"chicken"
1041,150,2014-06-13,"frozen vegetables"
1041,150,2014-06-13,"candy"
1041,151,2014-06-29,"tropical fruit"
1041,151,2014-06-29,"brown bread"
1041,151,2014-06-29,"whole milk"
1041,152,2014-07-07,"prosecco"
1041,152,2014-07-07,"dessert"
1041,153,2015-04-02,"hamburger meat"
1041,153,2015-04-02,"yogurt"
1042,154,2015-02-12,"beef"
1042,154,2015-02-12,"dessert"
1042,155,2015-05-22,"citrus fruit"
1042,155,2015-05-22,"bottled water"
1042,156,2015-10-16,"whole milk"
1042,156,2015-10-16,"other vegetables"
1043,157,2014-03-14,"tropical fruit"
1043,157,2014-03-14,"sliced cheese"
1043,158,2014-06-16,"napkins"
1043,158,2014-06-16,"whole milk"
1043,158,2014-06-16,"chocolate marshmallow"
1043,159,2015-01-10,"citrus fruit"
1043,159,2015-01-10,"rolls/buns"
1043,159,2015-01-10,"whole milk"
1044,160,2015-02-09,"tropical fruit"
1044,160,2015-02-09,"other vegetables"
1044,161,2015-10-25,"root vegetables"
1044,161,2015-10-25,"curd"
1045,162,2014-01-12,"root vegetables"
1045,162,2014-01-12,"yogurt"
1045,162,2014-01-12,"butter"
1045,162,2014-01-12,"yogurt"
1045,163,2014-04-10,"fruit/vegetable juice"
1045,163,2014-04-10,"specialty chocolate"
1045,163,2014-04-10,"Instant food products"
1045,164,2015-11-25,"chicken"
1045,164,2015-11-25,"onions"
1046,165,2015-06-18,"whole milk"
1046,165,2015-06-18,"pastry"
1046,166,2015-06-24,"pork"
1046,166,2015-06-24,"bottled water"
1047,167,2014-12-17,"pip fruit"
1047,167,2014-12-17,"soda"
1047,168,2015-01-04,"curd"
1047,168,2015-01-04,"soda"
1047,169,2015-08-09,"sweet spreads"
1047,169,2015-08-09,"butter"
1048,170,2015-10-06,"rolls/buns"
1048,170,2015-10-06,"condensed milk"
1048,170,2015-10-06,"whole milk"
1048,170,2015-10-06,"soda"
1048,171,2015-10-18,"rolls/buns"
1048,171,2015-10-18,"tropical fruit"
1049,172,2014-01-07,"specialty bar"
1049,172,2014-01-07,"margarine"
1049,173,2015-07-01,"butter"
1049,173,2015-07-01,"whole milk"
1049,174,2015-08-04,"white bread"
1049,174,2015-08-04,"candy"
1049,175,2015-09-05,"frankfurter"
1049,175,2015-09-05,"herbs"
1050,176,2014-02-15,"waffles"
1050,176,2014-02-15,"beverages"
1050,177,2014-03-06,"house keeping products"
1050,177,2014-03-06,"yogurt"
1050,178,2014-05-30,"pasta"
1050,178,2014-05-30,"yogurt"
1050,178,2014-05-30,"cat food"
1050,179,2014-10-10,"whipped/sour cream"
1050,179,2014-10-10,"hygiene articles"
1050,180,2014-10-12,"UHT-milk"
1050,180,2014-10-12,"other vegetables"
1050,180,2014-10-12,"dishes"
1050,181,2015-05-04,"meat"
1050,181,2015-05-04,"whole milk"
1051,182,2014-01-13,"hamburger meat"
1051,182,2014-01-13,"bottled beer"
1051,183,2014-09-17,"pork"
1051,183,2014-09-17,"coffee"
1051,183,2014-09-17,"frozen vegetables"
1051,184,2014-12-26,"shopping bags"
1051,184,2014-12-26,"shopping bags"
1051,185,2015-08-12,"other vegetables"
1051,185,2015-08-12,"soda"
1051,185,2015-08-12,"rolls/buns"
1051,185,2015-08-12,"dishes"
1051,186,2015-10-12,"tropical fruit"
1051,186,2015-10-12,"other vegetables"
1051,186,2015-10-12,"hamburger meat"
1051,186,2015-10-12,"popcorn"
1051,186,2015-10-12,"female sanitary products"
1051,187,2015-11-10,"fish"
1051,187,2015-11-10,"tropical fruit"
1051,187,2015-11-10,"red/blush wine"
1051,187,2015-11-10,"cream cheese "
1052,188,2014-01-04,"beef"
1052,188,2014-01-04,"shopping bags"
1052,189,2014-01-15,"root vegetables"
1052,189,2014-01-15,"grapes"
1052,190,2014-03-24,"chicken"
1052,190,2014-03-24,"beverages"
1052,190,2014-03-24,"coffee"
1052,191,2014-09-29,"butter"
1052,191,2014-09-29,"dog food"
1052,192,2014-10-13,"soda"
1052,192,2014-10-13,"whole milk"
1052,193,2014-11-20,"bottled water"
1052,193,2014-11-20,"chewing gum"
1052,194,2014-12-05,"soda"
1052,194,2014-12-05,"hamburger meat"
1052,195,2015-05-15,"frankfurter"
1052,195,2015-05-15,"whipped/sour cream"
1052,196,2015-07-06,"butter milk"
1052,196,2015-07-06,"yogurt"
1052,196,2015-07-06,"yogurt"
1052,196,2015-07-06,"margarine"
1052,197,2015-10-27,"pork"
1052,197,2015-10-27,"other vegetables"
1052,197,2015-10-27,"yogurt"
1052,197,2015-10-27,"shopping bags"
1052,197,2015-10-27,"soft cheese"
1052,197,2015-10-27,"detergent"
1053,198,2014-04-30,"soda"
1053,198,2014-04-30,"soda"
1053,199,2014-05-16,"waffles"
1053,199,2014-05-16,"rolls/buns"
1053,200,2014-05-23,"whole milk"
1053,200,2014-05-23,"sugar"
1053,201,2014-11-05,"chicken"
1053,201,2014-11-05,"frozen vegetables"
1053,202,2014-12-10,"other vegetables"
1053,202,2014-12-10,"whole milk"
1053,203,2015-07-09,"hamburger meat"
1053,203,2015-07-09,"pastry"
1054,204,2014-01-16,"soda"
1054,204,2014-01-16,"fruit/vegetable juice"
1054,205,2015-09-02,"bottled beer"
1054,205,2015-09-02,"oil"
1054,206,2015-10-04,"frankfurter"
1054,206,2015-10-04,"citrus fruit"
1054,206,2015-10-04,"margarine"
1054,207,2015-10-21,"photo/film"
1054,207,2015-10-21,"other vegetables"
1055,208,2014-08-05,"pork"
1055,208,2014-08-05,"white wine"
1055,209,2015-05-25,"bottled water"
1055,209,2015-05-25,"yogurt"
1055,209,2015-05-25,"newspapers"
1055,209,2015-05-25,"soda"
1056,210,2014-09-24,"ham"
1056,210,2014-09-24,"whole milk"
1056,211,2015-09-13,"pip fruit"
1056,211,2015-09-13,"other vegetables"
1056,212,2015-11-09,"whipped/sour cream"
1056,212,2015-11-09,"meat spreads"
1057,213,2014-01-06,"soda"
1057,213,2014-01-06,"domestic eggs"
1057,213,2014-01-06,"sliced cheese"
1057,213,2014-01-06,"soda"
1057,214,2014-03-05,"salty snack"
1057,214,2014-03-05,"pickled vegetables"
1057,215,2014-06-08,"tropical fruit"
1057,215,2014-06-08,"UHT-milk"
1058,216,2014-05-24,"chicken"
1058,216,2014-05-24,"other vegetables"
1058,217,2014-08-07,"yogurt"
1058,217,2014-08-07,"root vegetables"
1058,218,2015-04-06,"sausage"
1058,218,2015-04-06,"bottled water"
1058,219,2015-11-10,"root vegetables"
1058,219,2015-11-10,"other vegetables"
1059,220,2014-06-11,"dessert"
1059,220,2014-06-11,"spread cheese"
1059,221,2014-06-14,"sausage"
1059,221,2014-06-14,"salty snack"
1059,221,2014-06-14,"cling film/bags"
1061,222,2014-03-17,"soda"
1061,222,2014-03-17,"fruit/vegetable juice"
1061,222,2014-03-17,"bottled beer"
1061,223,2014-05-19,"beef"
1061,223,2014-05-19,"chocolate"
1061,224,2014-07-31,"whipped/sour cream"
1061,224,2014-07-31,"hard cheese"
1061,225,2014-10-23,"beverages"
1061,225,2014-10-23,"dessert"
1061,226,2015-09-05,"whole milk"
1061,226,2015-09-05,"tropical fruit"
1061,226,2015-09-05,"root vegetables"
1061,226,2015-09-05,"Instant food products"
1061,226,2015-09-05,"margarine"
1062,227,2014-01-26,"whole milk"
1062,227,2014-01-26,"sauces"
1062,228,2014-05-08,"white bread"
1062,228,2014-05-08,"frozen fruits"
1062,229,2014-11-07,"ham"
1062,229,2014-11-07,"whipped/sour cream"
1062,229,2014-11-07,"ketchup"
1062,230,2015-04-16,"tropical fruit"
1062,230,2015-04-16,"whole milk"
1062,230,2015-04-16,"other vegetables"
1062,230,2015-04-16,"long life bakery product"
1062,231,2015-09-18,"other vegetables"
1062,231,2015-09-18,"yogurt"
1062,231,2015-09-18,"whole milk"
1062,231,2015-09-18,"butter"
1062,231,2015-09-18,"shopping bags"
1063,232,2014-06-07,"whole milk"
1063,232,2014-06-07,"citrus fruit"
1063,233,2015-01-23,"rolls/buns"
1063,233,2015-01-23,"candy"
1064,234,2014-04-21,"cream cheese "
1064,234,2014-04-21,"rolls/buns"
1064,235,2014-09-03,"root vegetables"
1064,235,2014-09-03,"whole milk"
1064,236,2015-07-25,"long life bakery product"
1064,236,2015-07-25,"root vegetables"
1064,236,2015-07-25,"other vegetables"
1065,237,2014-01-14,"tropical fruit"
1065,237,2014-01-14,"whole milk"
1065,237,2014-01-14,"long life bakery product"
1065,237,2014-01-14,"rum"
1065,238,2014-01-23,"hamburger meat"
1065,238,2014-01-23,"soda"
1065,239,2014-11-05,"tropical fruit"
1065,239,2014-11-05,"rolls/buns"
1065,240,2014-12-25,"red/blush wine"
1065,240,2014-12-25,"frozen fish"
1065,241,2015-10-27,"beef"
1065,241,2015-10-27,"dessert"
1065,242,2015-11-13,"frankfurter"
1065,242,2015-11-13,"tropical fruit"
1066,243,2014-02-01,"root vegetables"
1066,243,2014-02-01,"bottled beer"
1066,244,2014-05-15,"whole milk"
1066,244,2014-05-15,"other vegetables"
1066,245,2014-06-12,"oil"
1066,245,2014-06-12,"shopping bags"
1067,246,2015-03-05,"whole milk"
1067,246,2015-03-05,"tropical fruit"
1067,247,2015-04-08,"hamburger meat"
1067,247,2015-04-08,"pork"
1067,248,2015-07-20,"rolls/buns"
1067,248,2015-07-20,"tropical fruit"
1067,248,2015-07-20,"coffee"
1067,248,2015-07-20,"chocolate"
1068,249,2014-03-08,"soda"
1068,249,2014-03-08,"yogurt"
1068,250,2015-07-01,"pork"
1068,250,2015-07-01,"spread cheese"
1069,251,2014-01-20,"pork"
1069,251,2014-01-20,"rolls/buns"
1069,252,2014-05-20,"brown bread"
1069,252,2014-05-20,"fruit/vegetable juice"
1069,253,2014-12-18,"salt"
1069,253,2014-12-18,"domestic eggs"
1069,254,2015-08-20,"bottled beer"
1069,254,2015-08-20,"tropical fruit"
1069,254,2015-08-20,"sliced cheese"
1069,254,2015-08-20,"dishes"
1070,255,2014-04-10,"citrus fruit"
1070,255,2014-04-10,"red/blush wine"
1070,256,2014-11-05,"cream cheese "
1070,256,2014-11-05,"newspapers"
1071,257,2014-09-26,"yogurt"
1071,257,2014-09-26,"roll products "
1071,257,2014-09-26,"fruit/vegetable juice"
1072,258,2014-06-23,"ham"
1072,258,2014-06-23,"other vegetables"
1072,259,2015-10-23,"frankfurter"
1072,259,2015-10-23,"canned beer"
1073,260,2014-03-21,"brown bread"
1073,260,2014-03-21,"salt"
1073,261,2014-06-05,"yogurt"
1073,261,2014-06-05,"bottled water"
1073,261,2014-06-05,"domestic eggs"
1073,262,2015-06-08,"pip fruit"
1073,262,2015-06-08,"curd"
1073,262,2015-06-08,"pip fruit"
1073,262,2015-06-08,"prosecco"
1073,263,2015-12-03,"finished products"
1073,263,2015-12-03,"brown bread"
1073,263,2015-12-03,"dishes"
1074,264,2014-01-29,"detergent"
1074,264,2014-01-29,"candy"
1074,265,2014-02-04,"semi-finished bread"
1074,265,2014-02-04,"ketchup"
1074,266,2014-05-08,"oil"
1074,266,2014-05-08,"shopping bags"
1074,267,2015-06-24,"misc. beverages"
1074,267,2015-06-24,"instant coffee"
1074,268,2015-10-16,"fruit/vegetable juice"
1074,268,2015-10-16,"flower (seeds)"
1075,269,2014-06-19,"UHT-milk"
1075,269,2014-06-19,"canned fish"
1075,270,2015-01-29,"pip fruit"
1075,270,2015-01-29,"rolls/buns"
1075,271,2015-07-20,"frankfurter"
1075,271,2015-07-20,"frozen meals"
1075,271,2015-07-20,"dishes"
1075,272,2015-11-19,"frankfurter"
1075,272,2015-11-19,"citrus fruit"
1075,272,2015-11-19,"bottled water"
1075,272,2015-11-19,"fruit/vegetable juice"
1076,273,2014-12-24,"sausage"
1076,273,2014-12-24,"brown bread"
1076,274,2015-05-14,"frankfurter"
1076,274,2015-05-14,"chicken"
1076,274,2015-05-14,"butter"
1076,274,2015-05-14,"bottled water"
1076,275,2015-06-12,"sausage"
1076,275,2015-06-12,"butter"
1076,275,2015-06-12,"bottled water"
1076,276,2015-10-14,"ham"
1076,276,2015-10-14,"whole milk"
1076,276,2015-10-14,"whole milk"
1076,276,2015-10-14,"coffee"
1077,277,2014-07-17,"pastry"
